player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.1822, 'mob': 0.07344151568047706, 'stable': 0.6642, 'parity': 0.7376, 'pos': 0.4117}, 'medio': {'corner': 0.5808, 'mob': 0.3805, 'stable': 0.2271, 'parity': 0.8301, 'pos': 0.4526}, 'final': {'corner': 0.2105, 'mob': 0.5603, 'stable': 0.6318, 'parity': 0.6156, 'pos': 0.2898}}",minimax,minimax,39,61,60
"{'apertura': {'corner': 0.9201, 'mob': 0.4212, 'stable': 0.8909, 'parity': 0.0748, 'pos': 0.7016}, 'medio': {'corner': 0.7925, 'mob': 0.3844, 'stable': 0.2203, 'parity': 0.8392, 'pos': 0.0818}, 'final': {'corner': 0.968, 'mob': 0.211, 'stable': 0.625, 'parity': 0.733, 'pos': 0.6454}}",minimax,minimax,38,64,63
"{'apertura': {'corner': 0.1673, 'mob': 0.5739, 'stable': 0.0468, 'parity': 0.4004, 'pos': 0.8032}, 'medio': {'corner': 0.4896, 'mob': 0.4049, 'stable': 0.9376, 'parity': 0.0546, 'pos': 0.6751}, 'final': {'corner': 0.0058, 'mob': 0.7738, 'stable': 0.0367, 'parity': 0.3285, 'pos': 0.4191}}",minimax,minimax,41,63,60
"{'apertura': {'corner': 0.6655, 'mob': 0.6419, 'stable': 0.8611, 'parity': 0.2509, 'pos': 0.5558}, 'medio': {'corner': 0.5804, 'mob': 0.4182, 'stable': 0.2435, 'parity': 0.5986, 'pos': 0.1507}, 'final': {'corner': 0.5422, 'mob': 0.3149, 'stable': 0.5883, 'parity': 0.8569, 'pos': 0.4653}}",minimax,"{'apertura': {'corner': 0.6655, 'mob': 0.6419, 'stable': 0.8611, 'parity': 0.2509, 'pos': 0.5558}, 'medio': {'corner': 0.5804, 'mob': 0.4182, 'stable': 0.2435, 'parity': 0.5986, 'pos': 0.1507}, 'final': {'corner': 0.5422, 'mob': 0.3149, 'stable': 0.5883, 'parity': 0.8569, 'pos': 0.4653}}",37,62,61
"{'apertura': {'corner': 0.3262, 'mob': 0.5429, 'stable': 0.91, 'parity': 0.4785, 'pos': 0.3967}, 'medio': {'corner': 0.2856, 'mob': 0.4976, 'stable': 0.5134, 'parity': 0.5033, 'pos': 0.4811}, 'final': {'corner': 0.1497, 'mob': 0.6071, 'stable': 0.5993, 'parity': 0.8912, 'pos': 0.543}}",minimax,minimax,35,64,60
"{'apertura': {'corner': 0.4777, 'mob': 0.4223, 'stable': 0.7605, 'parity': 0.1012, 'pos': 0.9712}, 'medio': {'corner': 0.9442, 'mob': 0.3421, 'stable': 0.7304, 'parity': 0.3253, 'pos': 0.7957}, 'final': {'corner': 0.0276, 'mob': 0.5485, 'stable': 0.3063, 'parity': 0.1678, 'pos': 0.9407}}",minimax,"{'apertura': {'corner': 0.4777, 'mob': 0.4223, 'stable': 0.7605, 'parity': 0.1012, 'pos': 0.9712}, 'medio': {'corner': 0.9442, 'mob': 0.3421, 'stable': 0.7304, 'parity': 0.3253, 'pos': 0.7957}, 'final': {'corner': 0.0276, 'mob': 0.5485, 'stable': 0.3063, 'parity': 0.1678, 'pos': 0.9407}}",33,63,59
"{'apertura': {'corner': 0.3328, 'mob': 0.4995, 'stable': 0.5164, 'parity': 0.6869, 'pos': 0.5807}, 'medio': {'corner': 0.6111, 'mob': 0.5469, 'stable': 0.4612, 'parity': 0.6755, 'pos': 0.3257}, 'final': {'corner': 0.4704, 'mob': 0.2619, 'stable': 0.7578, 'parity': 0.954, 'pos': 0.1465}}",minimax,"{'apertura': {'corner': 0.3328, 'mob': 0.4995, 'stable': 0.5164, 'parity': 0.6869, 'pos': 0.5807}, 'medio': {'corner': 0.6111, 'mob': 0.5469, 'stable': 0.4612, 'parity': 0.6755, 'pos': 0.3257}, 'final': {'corner': 0.4704, 'mob': 0.2619, 'stable': 0.7578, 'parity': 0.954, 'pos': 0.1465}}",35,63,62
"{'apertura': {'corner': 0.5718, 'mob': 0.6722, 'stable': 0.524, 'parity': 0.868, 'pos': 0.3184}, 'medio': {'corner': 0.488, 'mob': 0.7334, 'stable': 0.9084, 'parity': 0.4039, 'pos': 0.5093}, 'final': {'corner': 0.7041, 'mob': 0.1319, 'stable': 0.926, 'parity': 0.4454, 'pos': 0.3273}}",minimax,minimax,38,64,63
"{'apertura': {'corner': 0.7887, 'mob': 0.7819, 'stable': 0.4674, 'parity': 0.3962, 'pos': 0.937}, 'medio': {'corner': 0.0314, 'mob': 0.5697, 'stable': 0.0207, 'parity': 0.3042, 'pos': 0.9978}, 'final': {'corner': 0.3456, 'mob': 0.855, 'stable': 0.6667, 'parity': 0.8899, 'pos': 0.9222}}",minimax,minimax,55,64,60
"{'apertura': {'corner': 0.6803, 'mob': 0.727, 'stable': 0.4957, 'parity': 0.6321, 'pos': 0.6277}, 'medio': {'corner': 0.2597, 'mob': 0.6516, 'stable': 0.4646, 'parity': 0.354, 'pos': 0.7535}, 'final': {'corner': 0.5249, 'mob': 0.4934, 'stable': 0.7964, 'parity': 0.6677, 'pos': 0.6248}}",minimax,"{'apertura': {'corner': 0.6803, 'mob': 0.727, 'stable': 0.4957, 'parity': 0.6321, 'pos': 0.6277}, 'medio': {'corner': 0.2597, 'mob': 0.6516, 'stable': 0.4646, 'parity': 0.354, 'pos': 0.7535}, 'final': {'corner': 0.5249, 'mob': 0.4934, 'stable': 0.7964, 'parity': 0.6677, 'pos': 0.6248}}",42,64,60
